site,sensor,isodate,product,saa,sza,vza,vaa,ac_aot_550,ac_model,ac_band1,ac_band2,wind,rhot_443,rhot_492,rhot_560,rhot_665,rhot_704,rhot_740,rhot_783,rhot_833,rhot_865,rhot_945,rhot_1373,rhot_1614,rhot_2202,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865,rhos_insitu_443,rhos_insitu_492,rhos_insitu_560,rhos_insitu_665,rhos_insitu_704,rhos_insitu_740,rhos_insitu_783,rhos_insitu_833,rhos_insitu_865
VEIT,S2B_MSI,2022-01-23T10:12:18,S2B_MSIL1C_20220123T101219_N0301_R022_T33TUL_20220123T105159,164.251689123349,66.41442134975,7.935232805104003,285.23710144832353,0.21076946,ACOLITE-LUT-202110-MOD1,8A,8,0.7613922442704334,0.1705,0.13133335,0.08528888,0.050600003,0.043211114,0.038444445,0.0339,0.028388888,0.027211111,0.0098,0.001,0.009055556,0.005577778,0.040369753,0.039830144,0.028717391,0.0072105145,0.0046318476,0.0037770106,0.0016252496,0.0016606624,0.001081014,0.023781201658919008,0.03021277247341582,0.026782453601113077,0.0062847876103106545,0.004309263013970866,0.0023815403022857087,0.002118266269669314,0.0018840402664573755,0.0016776103510385953
VEIT,S2A_MSI,2020-11-24T10:14:16,S2A_MSIL1C_20201124T101341_N0209_R022_T33TUL_20201124T111254,170.818071959152,66.7304422062484,7.976722317310801,286.1306839004155,0.097556904,ACOLITE-LUT-202110-MOD1,8A,8,1.4846073387519296,0.1613,0.12513334,0.0866,0.044388887,0.035911113,0.03001111,0.026366666,0.0208,0.019466667,0.0078,0.001,0.003888889,0.002511111,0.043819264,0.04661891,0.04476854,0.013520291,0.009788253,0.006731421,0.0055919834,0.0043201144,0.003251501,0.027262611838638647,0.03583123582379129,0.04085637954552797,0.010902498902240656,0.007367367081201326,0.0034472698259449585,0.0031514850686070075,0.002839511381756219,0.002496148873188155
VEIT,S2B_MSI,2020-07-02T10:06:51,S2B_MSIL1C_20200702T100559_N0209_R022_T33TUL_20200702T122214,149.842803792891,25.0395238581482,7.9299438094911086,285.22220680681465,0.3268414,ACOLITE-LUT-202110-MOD1,8A,8,0.5566207281953969,0.1284,0.0941,0.064044446,0.03661111,0.029144445,0.025555559,0.023955556,0.018955555,0.018477777,0.0056,0.0006,0.005122222,0.0029222223,0.027476415,0.023251887,0.020684207,0.0075352173,0.004568325,0.0039358158,0.0035388172,0.0027081305,0.0020220897,0.01105735004470577,0.013251833045920317,0.014027259501570471,0.004666389241681801,0.003175068448386236,0.00166123027912441,0.0015294644642269207,0.001361012518591792,0.001221307599202952
VEIT,S2A_MSI,2019-10-01T10:16:59,S2A_MSIL1C_20191001T101031_N0208_R022_T33TUL_20191001T121706,167.139468738,49.4675980505,7.948771921976155,286.1415966760769,0.3179263,ACOLITE-LUT-202110-MOD1,8A,6,1.6144566196309014,0.1458,0.1111,0.074499995,0.043477777,0.03716667,0.033711113,0.031344444,0.0247,0.02588889,0.01,0.0036000002,0.011099999,0.007566666,0.03581758,0.03224037,0.023382159,0.0056820656,0.0049687936,0.004396123,0.0037331965,0.0015718652,0.0022969486,0.01942628616337479,0.02386435550484399,0.021060538999905332,0.004068608756815998,0.002590502704599265,0.0012212421867486382,0.0011170914344371407,0.000980906936241258,0.0008544430613331256
VEIT,S2B_MSI,2023-06-07T10:14:30,S2B_MSIL1C_20230607T100559_N0509_R022_T33TUL_20230607T121257,152.779047928855,24.8056747887204,7.978517798171658,285.2327550791002,0.22139752,ACOLITE-LUT-202110-MOD1,8A,7,0.2878400972725343,0.1274,0.093955554,0.060344443,0.03217778,0.026233336,0.023199998,0.021144442,0.017233334,0.01571111,0.0064,0.00090000004,0.0036000002,0.0019222223,0.033914685,0.030629672,0.022896461,0.007818709,0.005981488,0.0056686797,0.0048775417,0.0046150065,0.0029779484,0.017559197036828754,0.01931528670131462,0.014690498329715281,0.0029472386888229683,0.002071149367560328,0.0011971716769593656,0.0011041956757999207,0.0009949366164855727,0.000898440567113069
VEIT,S2A_MSI,2020-11-21T10:03:25,S2A_MSIL1C_20201121T100331_N0209_R122_T33TUL_20201121T110743,168.418888143416,66.4003366738211,6.961085177353224,105.79645997355948,0.07445875,ACOLITE-LUT-202110-MOD1,8A,8,5.1882264219065775,0.1765,0.1435,0.10748889,0.05212222,0.04205556,0.030800002,0.0281,0.02088889,0.019188888,0.01,0.0008,0.0033222223,0.0030000003,0.06102987,0.06933592,0.07197593,0.023702607,0.017443903,0.008419731,0.0089137005,0.0052594044,0.004468391,0.044958675150664665,0.061009648646579144,0.07105781860334469,0.02369218044100416,0.015830964324181192,0.006709562855753175,0.006238090369549279,0.005627861188442652,0.004816920929813429
VEIT,S2A_MSI,2019-10-21T10:17:30,S2A_MSIL1C_20191021T101041_N0208_R022_T33TUL_20191021T111324,170.026774851,56.7252007082,7.971692890195385,286.1307850993077,0.33576483,ACOLITE-LUT-202110-MOD1,6,8A,1.8292033600027866,0.1571,0.120855555,0.0833,0.047966667,0.040077776,0.034955554,0.032822225,0.027911114,0.027511112,0.0081,0.0014,0.0104,0.007622222,0.035368912,0.03269303,0.026643118,0.004194281,0.0023205373,0.0001499823,0.00042063405,0.0014802754,0.0002689144,0.019621437416764365,0.025227456667248484,0.025140476302709994,0.005761884996203916,0.0038571386064341884,0.0019770569848323732,0.0018388128756052133,0.0016326742773622952,0.0014820792011306435
O1BE,S2A_MSI,2022-03-24T11:04:50,S2A_MSIL1C_20220324T105721_N0400_R094_T31UDS_20220324T131626,163.785245068009,50.5589337499687,5.35693862768585,280.3822689729727,0.4578528,ACOLITE-LUT-202110-MOD1,8A,8,1.9224427495673229,0.15879999,0.13866667,0.1274111,0.08973333,0.08696666,0.04922222,0.046855554,0.037755556,0.031955555,0.012933333,0.0012,0.0074000005,0.004655556,0.03649317,0.0612375,0.09767514,0.061584014,0.06301673,0.016255967,0.017463244,0.012216176,0.005838313,0.05207328132390728,0.07459860712148594,0.10744947192123333,0.0677092368353042,0.06236427555741542,0.01880695224213955,0.016411331690567264,0.013312583182905631,0.008411240134468756
VEIT,S2B_MSI,2020-08-01T10:14:00,S2B_MSIL1C_20200801T100559_N0209_R022_T33TUL_20200801T130136,152.81974082241,30.0222996875374,7.924775298615018,285.20004107043945,0.51249677,ACOLITE-LUT-202110-MOD1,8A,8,0.5965155410374718,0.1409,0.106833324,0.073633336,0.044866666,0.036222223,0.03247778,0.03152222,0.025,0.025033334,0.0062,0.0005,0.0077333334,0.003922222,0.028557546,0.025290497,0.020378985,0.0064453464,0.0029228078,0.0027737364,0.0030718474,0.0018467249,0.0013359599,0.013543839748136673,0.016639386959825857,0.015436523371265184,0.004011845467957445,0.0027837838303813906,0.0015002765923984363,0.001383419521856614,0.001206401191737001,0.001075896306422729
VEIT,S2B_MSI,2020-11-06T10:02:16,S2B_MSIL1C_20201106T100219_N0209_R122_T33TUL_20201106T111632,168.387298038892,62.4809826235683,7.00739703063481,106.78568379670978,0.09686946,ACOLITE-LUT-202110-MOD1,8A,7,1.9904309604986674,0.157,0.11877778,0.07968889,0.039033335,0.03162222,0.025544446,0.022899998,0.018822223,0.016322222,0.007,0.001,0.0034666664,0.0013555555,0.0400394,0.04061949,0.03618851,0.010308109,0.008202646,0.005195263,0.004494782,0.0049947286,0.0025719784,0.02522357064751101,0.032592522739598055,0.03308790334332818,0.008432386756335836,0.005667026560085093,0.002648876772648464,0.002406181322365558,0.0021375041899214923,0.001877097944704005
